CodigoEstacion,NombreEstacion,Variable,Parametro,Fecha,Unidad,Valor,NivelAprobacion
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/01/2018 0:00,mm,241.3,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/02/2018 0:00,mm,62.1,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/03/2018 0:00,mm,356.6,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/04/2018 0:00,mm,394.4,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/05/2018 0:00,mm,483.8,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/06/2018 0:00,mm,228.3,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/07/2018 0:00,mm,322,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/08/2018 0:00,mm,163.7,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/09/2018 0:00,mm,265.4,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/10/2018 0:00,mm,307.2,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/11/2018 0:00,mm,301.9,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/12/2018 0:00,mm,290.1,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/01/2019 0:00,mm,305.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/02/2019 0:00,mm,252.4,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/03/2019 0:00,mm,483.4,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/04/2019 0:00,mm,293,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/05/2019 0:00,mm,323,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/06/2019 0:00,mm,389.6,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/07/2019 0:00,mm,344.2,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/08/2019 0:00,mm,185.7,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/09/2019 0:00,mm,328.6,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/10/2019 0:00,mm,202.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/11/2019 0:00,mm,294.3,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/12/2019 0:00,mm,225.4,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/01/2020 0:00,mm,181.3,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/02/2020 0:00,mm,234.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/03/2020 0:00,mm,321.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/04/2020 0:00,mm,197.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/05/2020 0:00,mm,415.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/06/2020 0:00,mm,488.1,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/07/2020 0:00,mm,445.3,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/08/2020 0:00,mm,162.1,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/09/2020 0:00,mm,388.3,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/10/2020 0:00,mm,165.2,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/11/2020 0:00,mm,185.5,Definitivo
44135010,ARARACUARA [44135010],PRECIPITACION,Precipitacion total mensual,1/01/2021 0:00,mm,164.9,Definitivo
