MUNICIPIO REPORTE,Fecha,Casos_Dengue,Mes,Lluvia_mm,Poblacion,Mes_Num,Temperatura,Lluvia_mm_lag1,Temperatura_lag1
ALBANIA,2019-04-01,2,ABRIL,310.93333333333334,6432,4,25.62266570558836,331.65555555555557,26.581735541573835
ALBANIA,2019-05-01,2,MAYO,395.22222222222223,6432,5,25.199496259878302,310.93333333333334,25.62266570558836
ALBANIA,2019-06-01,1,JUNIO,475.85555555555555,6432,6,24.633347184299716,395.22222222222223,25.199496259878302
ALBANIA,2019-07-01,5,JULIO,339.48055555555555,6432,7,24.70597187682467,475.85555555555555,24.633347184299716
ALBANIA,2019-08-01,5,AGOSTO,203.20555555555555,6432,8,25.312192175577902,339.48055555555555,24.70597187682467
ALBANIA,2019-09-01,6,SEPTIEMBRE,257.7972222222222,6432,9,26.176352884506635,203.20555555555555,25.312192175577902
ALBANIA,2019-10-01,6,OCTUBRE,278.27777777777777,6432,10,26.231315861030545,257.7972222222222,26.176352884506635
ALBANIA,2019-11-01,7,NOVIEMBRE,290.65555555555557,6432,11,26.28352988950622,278.27777777777777,26.231315861030545
ALBANIA,2019-12-01,18,DICIEMBRE,268.6333333333333,6432,12,26.581735541573835,290.65555555555557,26.28352988950622
ALBANIA,2020-01-01,24,ENERO,148.53333333333333,6432,1,26.31726056102881,268.6333333333333,26.581735541573835
ALBANIA,2020-02-01,13,FEBRERO,203.47037037037038,6432,2,26.88753757301854,148.53333333333333,26.31726056102881
ALBANIA,2020-03-01,11,MARZO,235.88518518518518,6432,3,25.943279120273466,203.47037037037038,26.88753757301854
ALBANIA,2020-04-01,10,ABRIL,294.9,6432,4,25.62266570558836,235.88518518518518,25.943279120273466
ALBANIA,2020-05-01,3,MAYO,485.70000000000005,6432,5,25.199496259878302,294.9,25.62266570558836
ALBANIA,2020-06-01,1,JUNIO,344.77777777777777,6432,6,24.633347184299716,485.70000000000005,25.199496259878302
ALBANIA,2020-07-01,1,JULIO,336.2888888888889,6432,7,24.70597187682467,344.77777777777777,24.633347184299716
ALBANIA,2020-09-01,1,SEPTIEMBRE,251.22222222222223,6432,9,26.176352884506635,336.2888888888889,24.70597187682467
ALBANIA,2020-10-01,1,OCTUBRE,282.05555555555554,6432,10,26.231315861030545,251.22222222222223,26.176352884506635
ALBANIA,2020-12-01,1,DICIEMBRE,203.7111111111111,6432,12,26.581735541573835,282.05555555555554,26.231315861030545
ALBANIA,2021-05-01,1,MAYO,554.0333333333333,6432,5,25.199496259878302,203.7111111111111,26.581735541573835
ALBANIA,2022-04-01,1,ABRIL,394.147619047619,6432,4,25.62266570558836,554.0333333333333,25.199496259878302
ALBANIA,2022-07-01,2,JULIO,325.7804232804233,6432,7,24.70597187682467,394.147619047619,25.62266570558836
ALBANIA,2022-08-01,4,AGOSTO,288.6333333333333,6432,8,25.312192175577902,325.7804232804233,24.70597187682467
ALBANIA,2022-09-01,2,SEPTIEMBRE,258.5444444444445,6432,9,26.176352884506635,288.6333333333333,25.312192175577902
ALBANIA,2022-11-01,1,NOVIEMBRE,174.3777777777778,6432,11,26.28352988950622,258.5444444444445,26.176352884506635
ALBANIA,2022-12-01,1,DICIEMBRE,109.60555555555555,6432,12,26.581735541573835,174.3777777777778,26.28352988950622
ALBANIA,2023-01-01,2,ENERO,192.02222222222224,6432,1,26.31726056102881,109.60555555555555,26.581735541573835
ALBANIA,2023-02-01,2,FEBRERO,196.8111111111111,6432,2,26.88753757301854,192.02222222222224,26.31726056102881
ALBANIA,2023-03-01,2,MARZO,316.4222222222222,6432,3,25.943279120273466,196.8111111111111,26.88753757301854
ALBANIA,2023-04-01,1,ABRIL,363.85925925925926,6432,4,25.62266570558836,316.4222222222222,25.943279120273466
ALBANIA,2023-05-01,4,MAYO,410.4962962962963,6432,5,25.199496259878302,363.85925925925926,25.62266570558836
ALBANIA,2023-09-01,1,SEPTIEMBRE,215.93333333333334,6432,9,26.176352884506635,410.4962962962963,25.199496259878302
